ArtbestId;ArtbestKod;ArtbestNamn;ArtbestFaktora;ArtbestFaktorb;ArtbestMinlangd;ArtbestMaxlangd;ArtbestMinvikt;ArtbestMaxvikt
1;ABBO;Abborre;6.00000;3.24590;7;45;0.025;1.000
2;ANSJ;Ansjovis;8.00000;3.26250;999;0;NULL;NULL
3;ASP;Asp;2.00000;3.51820;999;0;NULL;NULL
4;BEGY;Berggylta;10.65785;3.11979;15;35;0.300;2.000
5;BESI;Bergsimpa;19.60000;2.73900;999;0;NULL;NULL
6;BEST;Bergstubb;NULL;NULL;999;0;0.000;0.000
7;BETU;Bergskädda;14.00000;2.87615;9;34;0.000;0.000
8;BEVA;Bergvar;20.00000;2.78230;999;0;NULL;NULL
9;BJBR;Björkna eller braxen;6.02000;3.19000;1;13;NULL;NULL
10;BJÖR;Björkna;6.04840;3.19835;8;34;NULL;NULL
12;BLGY;Blågylta;NULL;NULL;15;30;NULL;NULL
13;BLÅL;Blankål;0.87800;3.19460;40;94;0.400;1.500
14;BRAX;Braxen;6.00000;3.17730;7;67;NULL;NULL
15;BÄRÖ;Bäckröding;NULL;NULL;999;0;NULL;NULL
16;ELRI;Elritsa;5.59000;3.26171;4;12;NULL;NULL
18;FARE;Faren;NULL;NULL;999;0;NULL;NULL
19;FEKN;Fenknot;10.00000;2.96280;20;30;0.003;0.004
20;FESK;Femtömmad skärlånga;4.87000;3.14056;10;29;0.018;0.050
21;FJÄR;Fjärsing;8.21000;2.91345;10;33;0.000;0.001
22;FLBA;Flodbarb;NULL;NULL;999;0;NULL;NULL
24;FLNE;Flodnejonöga;NULL;NULL;999;0;0.001;0.001
25;FYSK;Fyrtömmad skärlånga;3.80000;3.09000;999;0;0.000;0.001
26;FÄRN;Färna;NULL;NULL;999;0;NULL;NULL
27;GERS;Gärs;8.25950;3.14860;6;22;NULL;NULL
28;GLKO;Glyskolja;NULL;NULL;8;24;NULL;NULL
29;GLÅL;Glasål;NULL;NULL;999;0;0.000;0.000
30;GOBI;Smörbult obestämd;NULL;NULL;999;0;0.000;0.001
31;GRLÖ;Groplöja;NULL;NULL;999;0;NULL;NULL
32;GRSE;Gråsej;28.80000;2.60880;9;59;0.000;0.001
33;GRSN;Grässnultra;9.58000;3.09800;6;20;NULL;NULL
34;SIRU;Silverruda;13.00000;3.08000;999;0;NULL;NULL
35;GUMU;Mulle;9.00000;3.07040;6;13;NULL;NULL
36;GUÅL;Gulål;0.40000;3.35640;21;84;0.009;0.850
37;GÄDD;Gädda;4.32082;3.09678;17;101;0.100;3.000
38;GÖS;Gös;5.00000;3.11230;9;66;0.500;3.000
39;HAAB;Havsabborre;5.00000;3.18950;24;40;0.000;0.001
40;HABR;Havsbraxen;NULL;NULL;999;0;NULL;NULL
41;HAKA;Havskatt;NULL;NULL;50;61;0.000;0.000
43;HANE;Havsnejonöga;NULL;NULL;999;0;0.001;0.003
44;HANÅ;Större havsnål;0.10000;3.10130;25;45;0.002;0.009
45;HARR;Harr;6.20000;3.08700;21;30;0.200;1.000
46;HATO;Havstobis;2.57000;3.11000;15;19;NULL;NULL
47;HOGÄ;Näbbgädda;0.80000;3.10000;40;70;0.300;1.000
48;HOSI;Hornsimpa;2.74000;3.44699;10;31;NULL;NULL
50;HÄFL;Hälleflundra;NULL;NULL;999;0;NULL;NULL
51;ID;Id;5.23000;3.24602;10;51;0.500;2.000
52;KANÅ;Kantnålsfisk obestämd;NULL;NULL;999;0;NULL;NULL
53;KARP;Karp;NULL;NULL;999;0;NULL;NULL
54;KARÖ;Kanadaröding;NULL;NULL;999;0;NULL;NULL
